subject_token_pair,letter_count,avg_final_risk_score,high_or_critical_rate
human food + unapproved new drug,1,0.555,0.0
botox blitz + misbranded,5,0.552,0.0
botox blitz + unapproved new drugs,5,0.552,0.0
botox + misbranded,6,0.548,0.0
botox + unapproved new drugs,6,0.548,0.0
misbranded botox + unapproved new drugs,6,0.547,0.0
otc + unapproved new drugs,12,0.465,0.083
false & misleading claims + misbranded,11,0.464,0.0
misbranded + unapproved new drug,10,0.429,0.3
ophthalmic drug products + unapproved new drugs,7,0.426,0.0
misbranded + otc,19,0.403,0.053
nonprescription + otc,5,0.309,0.2
nonprescription + otc.”,1,0.275,0.0
adulterated + misbranded,244,0.254,0.057
otc + unapproved new drug,6,0.23,0.0
failure to list + misbranded,1,0.22,0.0
adulterated + family smoking prevention and tobacco control act,223,0.207,0.0
family smoking prevention and tobacco control act + misbranded,223,0.207,0.0
misbranded + new drug,1,0.205,0.0
advertising & promotional labeling + biological products,1,0.2,0.0
advertising & promotional labeling + drugs,1,0.2,0.0
biological products + drugs,1,0.2,0.0
electronic drug registration and listing system (edrls) + violations,1,0.185,0.0
failure to register and list + misbranded,12,0.158,0.0
